date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:30	47403/47403	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:27%20GMT	http://yswantou.com/newsshow-4-302-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-4-302-1.html	(from http://yswantou.com/)
02:05:30	149094/149094	---M--	200	added ('OK')	image/jpeg	etag:%220ba20da1448d31:0%22	http://yswantou.com/uploads/image/20171018/1508341075.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/uploads/image/20171018/1508341075.jpg	(from http://yswantou.com/)
02:05:32	45655/45655	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:28%20GMT	http://yswantou.com/newsshow-40-301-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-301-1.html	(from http://yswantou.com/)
02:05:33	45889/45889	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:30%20GMT	http://yswantou.com/newsshow-4-300-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-4-300-1.html	(from http://yswantou.com/)
02:05:34	41294/41294	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:32%20GMT	http://yswantou.com/newsshow-27-299-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-27-299-1.html	(from http://yswantou.com/)
02:05:35	41893/41893	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:32%20GMT	http://yswantou.com/newsshow-27-298-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-27-298-1.html	(from http://yswantou.com/)
02:05:35	42380/42380	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:34%20GMT	http://yswantou.com/newsshow-40-297-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-297-1.html	(from http://yswantou.com/)
02:05:37	42849/42849	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:34%20GMT	http://yswantou.com/newsshow-40-296-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-296-1.html	(from http://yswantou.com/)
02:05:37	41952/41952	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:35%20GMT	http://yswantou.com/newsshow-40-295-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-295-1.html	(from http://yswantou.com/)
02:05:39	43660/43660	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:37%20GMT	http://yswantou.com/newsshow-40-294-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-294-1.html	(from http://yswantou.com/)
02:05:40	44789/44789	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:37%20GMT	http://yswantou.com/newsshow-40-293-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-293-1.html	(from http://yswantou.com/)
02:05:42	157262/157262	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:05:39%20GMT	http://yswantou.com/newsshow-40-292-1.html	C:/My%20Web%20Sites/yswantou.com/yswantou.com/newsshow-40-292-1.html	(from http://yswantou.com/)
02:05:42	5066/5066	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:42%20GMT	http://yswantou.com/style/js/rollup.js	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/js/rollup.8e.delayed	(from http://yswantou.com/)
02:05:43	8991/8991	---M--	200	added ('OK')	image/png	etag:%2207379115b13d31:0%22	http://yswantou.com/style/images/43a919ee1cb44eaf869c27e2c953d715.png	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/images/43a919ee1cb44eaf869c27e2c953d715.png	(from http://yswantou.com/)
02:05:43	5086/5086	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:42%20GMT	http://yswantou.com/style/css/img/99bill_pay.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/99bill_pay.90.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:43	5078/5078	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:43%20GMT	http://yswantou.com/style/css/img/nodata.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/nodata.91.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:44	6868/6868	---M--	200	added ('OK')	application/javascript	etag:%225a1d7fe3-1ad4%22	http://js.users.51.la/19325284.js	C:/My%20Web%20Sites/yswantou.com/js.users.51.la/19325284.js	(from http://yswantou.com/)
02:05:44	5078/5078	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:43%20GMT	http://yswantou.com/style/css/img/verror.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/verror.92.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:44	50/50	---M--	200	added ('OK')	image/gif	etag:%220c3323d81f9d21:0%22	http://yswantou.com/style/css/img/ico10.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/ico10.gif	(from http://yswantou.com/style/css/temp.css)
02:05:44	44/44	---M--	200	added ('OK')	image/gif	etag:%220c3323d81f9d21:0%22	http://yswantou.com/style/css/img/ico7.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/ico7.gif	(from http://yswantou.com/style/css/temp.css)
02:05:45	5100/5100	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:44%20GMT	http://yswantou.com/style/css/img/all_columns_title.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/all_columns_title.95.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:45	5076/5076	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:44%20GMT	http://yswantou.com/style/css/img/ico12.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/ico12.96.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:45	5084/5084	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:44%20GMT	http://yswantou.com/style/css/img/attr_form.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/attr_form.97.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:45	5088/5088	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:44%20GMT	http://yswantou.com/style/css/img/attr_form_b.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/attr_form_b.98.delayed	(from http://yswantou.com/style/css/temp.css)
